address_id,chain,address,role,first_seen_utc,last_seen_utc,public_label,label_source_id,label_checked_at,assessment,confidence,source_id,notes
eth-harbor-router,ethereum,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,cross-chain router contract,,,Harbor: Router,etherscan-labels,2026-08-23,native-asset DEX and liquidity router,high,harbor-product,"Named routing service; not classified as a mixer"
eth-bridgers-router,ethereum,0xB685760EBD368a891F27ae547391F4E2A289895b,cross-chain router contract,,,Bridgers,bridgers-contracts,2026-08-23,verified Ethereum mainnet routing contract,high,bridgers-contracts,"Named routing service; not classified as a mixer"
eth-pionex-source,ethereum,0xF6D4E5a7c5215F91f59a95065190CCa24bf64554,incident-window first-hop sender,,,Pionex Hot Wallet,etherscan-labels,2026-08-23,immediate service-wallet provenance,medium-high,etherscan-labels,"Label does not identify the customer or payment purpose"
eth-duelbits-source,ethereum,0x014435B1E39945CF4f5F0c3cbb5833195A95CC9B,incident-window first-hop sender,,,Duelbits,etherscan-labels,2026-08-23,immediate labeled-wallet provenance,medium-high,etherscan-labels,"Label does not identify the customer or payment purpose"
eth-paxos-source,ethereum,0x264bd8291fAE1D75DB2c5F573b07faA6715997B5,incident-window first-hop sender,,,Paxos 4,etherscan-labels,2026-08-23,immediate service-wallet provenance,medium-high,etherscan-labels,"Label does not identify the customer or payment purpose"
eth-crypto-source,ethereum,0x46340b20830761efd32832A74d7169B29FEB9758,incident-window first-hop sender,,,Crypto.com 12,etherscan-labels,2026-08-23,immediate service-wallet provenance,medium-high,etherscan-labels,"Label does not identify the customer or payment purpose"
eth-coinbase-source,ethereum,0xA9D1e08C7793af67e9D92Fe308d5697FB81d3E43,incident-window and pre-incident first-hop sender,,,Coinbase 10,blockscan-labels,2026-08-23,immediate service-wallet provenance,medium-high,blockscan-labels,"Label corroborated across public explorer datasets; customer unknown"
eth-binance16-source,ethereum,0xdfD5293D8e347dFE59E90eFd55b2956A1343963d,incident-window first-hop sender,,,Binance 16,etherscan-labels,2026-08-23,immediate service-wallet provenance,medium-high,etherscan-labels,"Label does not identify the customer or payment purpose"
eth-binance17-source,ethereum,0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,incident-window first-hop sender,,,Binance 17,etherscan-labels,2026-08-23,immediate service-wallet provenance,medium-high,etherscan-labels,"Label does not identify the customer or payment purpose"
eth-uphold-source,ethereum,0x1c727A55eA3C11B0AB7D3A361Fe0F3C47Ce6De5d,incident-window first-hop sender,,,Uphold,etherscan-labels,2026-08-23,immediate service-wallet provenance,medium-high,etherscan-labels,"Label does not identify the customer or payment purpose"
eth-scam-tagged-feeder,ethereum,0x0067CC2416F792CF0ec5629f5506324Ac508f859,incident-window first-hop sender,,,Phish / Hack warning reported by HashDit,etherscan-labels,2026-08-23,publicly scam-tagged feeder,medium,etherscan-labels,"Tag does not establish a named campaign operator or ownership relationship"
eth-storage,ethereum,0xaAA56521faBFE036E7A2cff721B3e37Dafff6dc9,post-incident native ETH storage address,,,unlabeled,,2026-08-23,received 5.499399595444390569 ETH from seed,high,blockscout-api,"Pre-existing EOA; balance similarity is not proof of exact-asset custody"
eth-fast-relay,ethereum,0x81A19D2E11eb6177f9FB09D8D033a415C5cEa501,post-incident fast relay,2026-08-03T02:47:59Z,2026-08-21T17:30:23Z,unlabeled,,2026-08-23,forwarded linked assets in 96 to 204 seconds,high,blockscout-api,"Transient behavior does not identify beneficial owner"
eth-later-pool,ethereum,0x3dBEC89B559A6616b8F12F5A948FEfD8aEA18a01,post-incident high-volume aggregation EOA,,,unlabeled; funded by Bitget 6,etherscan-labels,2026-08-23,unattributed pooled endpoint,medium-high,blockscout-api,"Historical funding provenance does not establish Bitget ownership or cash-out"
tron-invalid,tron,TW4AgGnDc2Pk6YAynCtjCKzoKYWPg7nJe,invalid payload replacement string,,,,,2026-08-23,fails expected length and Base58Check validation,high,tron-account-docs,"Do not guess a missing character or report TRON activity"
